Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
"000370 - Prutul Galati (Romania) - sunflower oil - 1L [PRUTUL, Romania][Shufersal]__26/2/2025",0,"000370 - Prutul Galati (Romania) - sunflower oil - 1L [PRUTUL, Romania][Shufersal]",26/2/2025,FCA (Free Carrier),Euro,#205,"New proposal until tomorrow 06.00 p.m.
","By Operation Manager on 26 Feb, 2025","By Operation Manager on 26 Feb, 2025",1.27
"000371 - Greenvector Agro - sunflower oil [greenvector agro, Ukraine][Shufersal]__12/2/2025",0,"000371 - Greenvector Agro - sunflower oil [greenvector agro, Ukraine][Shufersal]",12/2/2025,FCA (Free Carrier),Euro,#154,sunflower oil,"By Operation Manager on 12 Feb, 2025","By Operation Manager on 16 Feb, 2025",1.22
"000372 - victoriaoil - sunflower oil
 [Victoria oil, Serbia][Shufersal]__12/2/2025",0,"000372 - victoriaoil - sunflower oil
 [Victoria oil, Serbia][Shufersal]",12/2/2025,FCA (Free Carrier),Euro,#155,sunflower oil,"By Operation Manager on 12 Feb, 2025","By Operation Manager on 16 Feb, 2025",1.35
"000373 - OLIVA AD- sunflower oil - 1 L
 [Oliva AD, Bulgaria][Shufersal]__18/2/2025",0,"000373 - OLIVA AD- sunflower oil - 1 L
 [Oliva AD, Bulgaria][Shufersal]",18/2/2025,"CIF (Cost, Insurance, and Freight)",Euro,#182,OLIVA AD- sunflower oil,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",1.54
"000374 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000374 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#157,sweetcorn supersweet kernel no cutting size,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
"000376 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000376 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#158,"Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.31
"000377 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000377 -  Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#159," Wokmix - Ardo Organic broccoli, Organic carrot strips,  Organic yellow carrot strips, Organic green beans, Organic onions diced, Organic red pepper diced","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
"000379 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000379 -  Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
 [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#160," Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas
","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
"000381 - Ardo org broccolimix 4x2,5kg [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000381 - Ardo org broccolimix 4x2,5kg [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#164,"Ardo broccolimix 4x2,5kg ","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.42
"000384 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000384 - org sweetcorn supersweet kernel no cutting size ARDO [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#162,sweetcorn supersweet kernel no cutting size ,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
"000387 - Ardo org broccolimix 4x2,5kg [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000387 - Ardo org broccolimix 4x2,5kg [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#163,"Ardo broccolimix 4x2,5kg","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",
"000388 - Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas - Ardo

 [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000388 - Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas - Ardo

 [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#165,"Ardo Summermix - Organic carrots diced, Organic cut green beans, Organic cauliflower, Organic peas - Ardo

","By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",0.98
"000389 - Ardo org pea garden not calibrated   [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000389 - Ardo org pea garden not calibrated   [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#166,Ardo org pea garden not calibrated  ,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.6
"000390 - Ardo org pea garden not calibrated   [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000390 - Ardo org pea garden not calibrated   [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#167,Ardo org pea garden not calibrated  ,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.24
"000391 - Ardo org bean gr whole blanch medium no cutting size  [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000391 - Ardo org bean gr whole blanch medium no cutting size  [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#168,Ardo org bean gr whole blanch medium no cutting size ,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.25
"000392 - Ardo org bean gr whole blanch medium no cutting size [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000392 - Ardo org bean gr whole blanch medium no cutting size [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#169,Ardo org bean gr whole blanch medium no cutting size,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",0.97
"000393 - Ardo org bean gr cut blanch fine 40mm  [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000393 - Ardo org bean gr cut blanch fine 40mm  [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#170,Ardo org bean gr cut blanch fine 40mm ,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",1.16
"000394 - Ardo org bean gr cut blanch fine 40mm [Ardo, Belgium][Harduf - All Organics]__17/2/2025",0,"000394 - Ardo org bean gr cut blanch fine 40mm [Ardo, Belgium][Harduf - All Organics]",17/2/2025,FOB (Free On Board),Euro,#171,Ardo org bean gr cut blanch fine 40mm,"By Operation Manager on 17 Feb, 2025","By Operation Manager on 17 Feb, 2025",0.9
"000395 - Mixed Coated peanut ND4-4FHF12 [Maas Intersales, Netherlands][Leiman Schlussel Ltd]__17/2/2025",0,"000395 - Mixed Coated peanut ND4-4FHF12 [Maas Intersales, Netherlands][Leiman Schlussel Ltd]",17/2/2025,FOB (Free On Board),USD,#174,"Mixed Coated peanut - Maas Intersales

","By Operation Manager on 17 Feb, 2025","By Operation Manager on 22 Apr, 2025",2.88
"000396 - rice cracker & nut mix -  ND4-4-FHF5 [Maas Intersales, Netherlands][Leiman Schlussel Ltd]__18/2/2025",0,"000396 - rice cracker & nut mix -  ND4-4-FHF5 [Maas Intersales, Netherlands][Leiman Schlussel Ltd]",18/2/2025,FOB (Free On Board),USD,#175,rice cracker & nut mix -  ND4-4-FHF5,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",2.88
"000397 - Chocolate eggs 60g with surprise, (3X20) [Chocolitaly , Italy][Yochananof]__18/2/2025",0,"000397 - Chocolate eggs 60g with surprise, (3X20) [Chocolitaly , Italy][Yochananof]",18/2/2025,,Euro,#177,"chocolate eggs 60g with surprise, (3X20)","By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",0.89
"000398 - Frozen French fries  [Bergia frites, Netherlands][ProPlus]__18/2/2025",0,"000398 - Frozen French fries  [Bergia frites, Netherlands][ProPlus]",18/2/2025,FOB (Free On Board),Euro,#178,Frozen French fries - Bergia frites,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",1.05
"000399 - Preserved Lemon Juice 200ml [Polenghi, Italy][Shufersal]__18/2/2025",0,"000399 - Preserved Lemon Juice 200ml [Polenghi, Italy][Shufersal]",18/2/2025,FOB (Free On Board),Euro,#179,Preserved Lemon Juice 200ml,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",0.315
"000400 - Preserved Lemon Juice 500ml [Polenghi, Italy][Shufersal]__18/2/2025",0,"000400 - Preserved Lemon Juice 500ml [Polenghi, Italy][Shufersal]",18/2/2025,FOB (Free On Board),Euro,#180,Preserved Lemon Juice 500ml,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",0.695
"000401 - Natural Lemon Juice 250ml - Preservative Free [Polenghi, Italy][Shufersal]__18/2/2025",0,"000401 - Natural Lemon Juice 250ml - Preservative Free [Polenghi, Italy][Shufersal]",18/2/2025,FOB (Free On Board),Euro,#181,Natural Lemon Juice 250ml - Preservative Free,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",0.51
"000403 - OLIVA AD- sunflower oil - 5 L
 [Oliva AD, Bulgaria][Shufersal]__18/2/2025",0,"000403 - OLIVA AD- sunflower oil - 5 L
 [Oliva AD, Bulgaria][Shufersal]",18/2/2025,"CIF (Cost, Insurance, and Freight)",Euro,#183,Refined Sunflower Oil 5L,"By Operation Manager on 18 Feb, 2025","By Operation Manager on 18 Feb, 2025",7.4
"000405 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Yochananof]__19/2/2025",0,"000405 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Yochananof]",19/2/2025,FOB (Free On Board),Euro,#184,wafer cubes hazel nuts 250 gr - Balconi,"By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",0.95
"000406 - SPONGE CAKE- MIX MAX GR 350 [Balconi, Italy][Yochananof]__19/2/2025",0,"000406 - SPONGE CAKE- MIX MAX GR 350 [Balconi, Italy][Yochananof]",19/2/2025,EXW (Ex Works),Euro,#185,"SPONGE CAKE- MIX MAX GR 350 - Balconi
","By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.35
"000407 - SPONGE CAKE- MIX MILK GR 350 [Balconi, Italy][Yochananof]__19/2/2025",0,"000407 - SPONGE CAKE- MIX MILK GR 350 [Balconi, Italy][Yochananof]",19/2/2025,EXW (Ex Works),Euro,#186,SPONGE CAKE- MIX MILK GR 350 balconi,"By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.35
"000408 - Crushed Tomato [SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy][ProPlus]__9/3/2025",0,"000408 - Crushed Tomato [SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy][ProPlus]",9/3/2025,FOB (Free On Board),Euro,#221,,"By Success Management on 9 Mar, 2025","By Success Management on 9 Mar, 2025",4.3
"000410 - Coffeehouse Coooky - Kosher OU  [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]__19/2/2025",0,"000410 - Coffeehouse Coooky - Kosher OU  [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]",19/2/2025,FOB (Free On Board),Euro,#187,Coffeehouse Coooky - Kosher OU - Coppenrath Feingebäck GmbH,"By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.26
"000411 - Butter Cookies Kosher OU [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]__19/2/2025",0,"000411 - Butter Cookies Kosher OU [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]",19/2/2025,FOB (Free On Board),Euro,#188,Butter Cookies (Kosher OU)	,"By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.26
"000412 - Wiener Sandringe (Kosher OU) [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]__19/2/2025",0,"000412 - Wiener Sandringe (Kosher OU) [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]",19/2/2025,FOB (Free On Board),Euro,#189,Wiener Sandringe (Kosher OU)	,"By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.26
"000413 - Haselnuss-Ringe (Kosher OU) [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]__19/2/2025",0,"000413 - Haselnuss-Ringe (Kosher OU) [Coppenrath Feingebäck GmbH, Germany][Leiman Schlussel Ltd]",19/2/2025,FOB (Free On Board),Euro,#190,"Haselnuss-Ringe (Kosher OU) - Coppenrath Feingebäck GmbH
","By Operation Manager on 19 Feb, 2025","By Operation Manager on 19 Feb, 2025",1.33
"000414 - Ardo bean gr whole blanch no cutting size 4x2,5kg [Ardo, Belgium][Achim Cohen]__",0,"000414 - Ardo bean gr whole blanch no cutting size 4x2,5kg [Ardo, Belgium][Achim Cohen]",,,Euro,#192,,"By Operation Manager on 20 Feb, 2025","By Operation Manager on 20 Feb, 2025",1.14
"000419 - Pasta 500 g [La Doria, Italy][Ta'aman]__20/2/2025",0,"000419 - Pasta 500 g [La Doria, Italy][Ta'aman]",20/2/2025,,Euro,#193,Pasta 500 g,"By Operation Manager on 20 Feb, 2025","By Operation Manager on 20 Feb, 2025",0.45
"000421 - Prutul Galati (Romania) - sunflower oil - 5L [PRUTUL, Romania][Shufersal]__22/2/2025",0,"000421 - Prutul Galati (Romania) - sunflower oil - 5L [PRUTUL, Romania][Shufersal]",22/2/2025,EXW (Ex Works),Euro,#195,sunflower oil,"By Operation Manager on 22 Feb, 2025","By Operation Manager on 22 Feb, 2025",6.55
"000421 - Prutul Galati (Romania) - sunflower oil - 5L [PRUTUL, Romania][Shufersal]__26/2/2025",0,"000421 - Prutul Galati (Romania) - sunflower oil - 5L [PRUTUL, Romania][Shufersal]",26/2/2025,FCA (Free Carrier),Euro,#204,"New proposal until tomorrow 06.00 p.m.

 ","By Operation Manager on 26 Feb, 2025","By Operation Manager on 26 Feb, 2025",3.35
"000422 - ROMIRO LTD -sunflower oil 5L [ROMIRO LTD, Ukraine][Shufersal]__22/2/2025",0,"000422 - ROMIRO LTD -sunflower oil 5L [ROMIRO LTD, Ukraine][Shufersal]",22/2/2025,FCA (Free Carrier),USD,#196,Sunflower oil,"By Operation Manager on 22 Feb, 2025","By Operation Manager on 22 Feb, 2025",6.28
"000423 - Vioil sunflower oil 5 L [ViOil INDUSTRIAL GROUP, Ukraine][Shufersal]__22/2/2025",0,"000423 - Vioil sunflower oil 5 L [ViOil INDUSTRIAL GROUP, Ukraine][Shufersal]",22/2/2025,FCA (Free Carrier),USD,#197,sunflower oil,"By Operation Manager on 22 Feb, 2025","By Operation Manager on 22 Feb, 2025",6.54
"000423 - Vioil sunflower oil 5 L [ViOil INDUSTRIAL GROUP, Ukraine][Shufersal]__23/2/2025",0,"000423 - Vioil sunflower oil 5 L [ViOil INDUSTRIAL GROUP, Ukraine][Shufersal]",23/2/2025,CFR (Cost and Freight),USD,#200,sunflower oil,"By Operation Manager on 23 Feb, 2025","By Operation Manager on 23 Feb, 2025",7.2
"000424 - Victoria oil Sunflower oil 5L [Victoria oil, Serbia][Shufersal]__22/2/2025",0,"000424 - Victoria oil Sunflower oil 5L [Victoria oil, Serbia][Shufersal]",22/2/2025,FCA (Free Carrier),Euro,#198,sunflower oil,"By Operation Manager on 22 Feb, 2025","By Operation Manager on 22 Feb, 2025",6.75
000425 - Poyraz Olive oil -500ML [][Shufersal]__24/2/2025,0,000425 - Poyraz Olive oil -500ML [][Shufersal],24/2/2025,FOB (Free On Board),USD,#201,olive oil,"By Operation Manager on 24 Feb, 2025","By Operation Manager on 24 Feb, 2025",4.72
"000426 - Bomilino Cream 13 % Hazelnut 350gr [NS BOMI, Serbia][Ta'aman]__24/2/2025",0,"000426 - Bomilino Cream 13 % Hazelnut 350gr [NS BOMI, Serbia][Ta'aman]",24/2/2025,EXW (Ex Works),Euro,#202,Chocolate Cream ,"By Operation Manager on 24 Feb, 2025","By Operation Manager on 24 Feb, 2025",1.99
"000427 - Bomilino Cocoa cream 400gr [NS BOMI, Serbia][Ta'aman]__24/2/2025",0,"000427 - Bomilino Cocoa cream 400gr [NS BOMI, Serbia][Ta'aman]",24/2/2025,EXW (Ex Works),Euro,#203,Chocolate Cream ,"By Operation Manager on 24 Feb, 2025","By Operation Manager on 24 Feb, 2025",1.19
"000431 - Dor Alon 500 ml mueloliva [Mueloliva , Spain][Dor Alon]__27/2/2025",0,"000431 - Dor Alon 500 ml mueloliva [Mueloliva , Spain][Dor Alon]",27/2/2025,FOB (Free On Board),USD,#209,Dor Alon 500 ml mueloliva,"By Operation Manager on 27 Feb, 2025","By Operation Manager on 27 Feb, 2025",2.78
"000431 - Dor Alon 500 ml mueloliva [Mueloliva , Spain][Dor Alon]__27/2/2025",0,"000431 - Dor Alon 500 ml mueloliva [Mueloliva , Spain][Dor Alon]",27/2/2025,CFR (Cost and Freight),USD,#210,Dor Alon 500 ml mueloliva (CFR NY),"By Operation Manager on 27 Feb, 2025","By Operation Manager on 27 Feb, 2025",2.92
"000432 - Taralli  250 gr  Fiore [Fiore di Puglia, Italy][Leiman Schlussel Ltd]__27/2/2025",0,"000432 - Taralli  250 gr  Fiore [Fiore di Puglia, Italy][Leiman Schlussel Ltd]",27/2/2025,FOB (Free On Board),Euro,#213,Taralli 250 gr,"By Operation Manager on 27 Feb, 2025","By Operation Manager on 29 Apr, 2025",0.59
"000433 - Petit Beurre-Pally Biscuits  [Pally biscuits, Netherlands][FoodzShufersal]__2/3/2025",0,"000433 - Petit Beurre-Pally Biscuits  [Pally biscuits, Netherlands][FoodzShufersal]",2/3/2025,FOB (Free On Board),Euro,#214,Petit Beurre-Pally Biscuits ,"By Operation Manager on 2 Mar, 2025","By Operation Manager on 2 Mar, 2025",0.565
"000436 - EuroSnack multipack crostini  5 x 30g  gusto classico
 [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]__",0,"000436 - EuroSnack multipack crostini  5 x 30g  gusto classico
 [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]",,,,#215,,"By Operation Manager on 3 Mar, 2025","By Operation Manager on 3 Mar, 2025",1.64
"000437 - EuroSnack multipack crostini 5 x 30g gusto pizza [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]__3/3/2025",0,"000437 - EuroSnack multipack crostini 5 x 30g gusto pizza [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]",3/3/2025,,,#216,EuroSnack multipack crostini 5 x 30g gusto classico,"By Operation Manager on 3 Mar, 2025","By Operation Manager on 3 Mar, 2025",1.64
"000438 - EuroSnack bruschettine premium 12 pz  gusto  barbecue
 [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]__3/3/2025",0,"000438 - EuroSnack bruschettine premium 12 pz  gusto  barbecue
 [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]",3/3/2025,,,#218,EuroSnack bruschettine premium 12 pz  gusto  barbrcue,"By Operation Manager on 3 Mar, 2025","By Operation Manager on 3 Mar, 2025",0.775
"000439 - EuroSnack bruschettine premium 12 pz  gusto  mediterraneo [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]__3/3/2025",0,"000439 - EuroSnack bruschettine premium 12 pz  gusto  mediterraneo [EuroSnacks/ FornoDamiani, Italy][Leiman Schlussel Ltd]",3/3/2025,,,#217,EuroSnack bruschettine premium 12 pz  gusto  mediterraneo,"By Operation Manager on 3 Mar, 2025","By Operation Manager on 3 Mar, 2025",0.775
"000440 - Pally biscuits Speculoos 250 gram
 [Pally biscuits, Netherlands][FoodzShufersal]__4/3/2025",0,"000440 - Pally biscuits Speculoos 250 gram
 [Pally biscuits, Netherlands][FoodzShufersal]",4/3/2025,FOB (Free On Board),Euro,#219,"Pally biscuits Speculoos 250 gram

","By Success Management on 4 Mar, 2025","By Success Management on 4 Mar, 2025",0.685
"000441 - Crushed Tomato 2500g [SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy][ProPlus]__9/3/2025",0,"000441 - Crushed Tomato 2500g [SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy][ProPlus]",9/3/2025,FOB (Free On Board),Euro,#222,,"By Success Management on 9 Mar, 2025","By Success Management on 9 Mar, 2025",2.65
"000442 - TAAMAN LEMON JUICE FROM CONCENTRATE 500ML X6 IL [Polenghi, Italy][]__23/3/2025",0,"000442 - TAAMAN LEMON JUICE FROM CONCENTRATE 500ML X6 IL [Polenghi, Italy][]",23/3/2025,EXW (Ex Works),Euro,#223,,"By Success Management on 23 Mar, 2025","By Success Management on 23 Mar, 2025",3.648
"000443 - TAAMAN LEMON JUICE FROM CONCENTRATE 1000MLX6 IL
 [Polenghi, Italy][]__23/3/2025",0,"000443 - TAAMAN LEMON JUICE FROM CONCENTRATE 1000MLX6 IL
 [Polenghi, Italy][]",23/3/2025,EXW (Ex Works),Euro,#224,,"By Success Management on 23 Mar, 2025","By Success Management on 23 Mar, 2025",5.28
"000444 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]__2/4/2025",0,"000444 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]",2/4/2025,FOB (Free On Board),Euro,#225,"Frozen french fries 9X9
","By Operation Manager on 2 Apr, 2025","By Operation Manager on 2 Apr, 2025",1.04
"000445 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]__2/4/2025",0,"000445 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]",2/4/2025,FOB (Free On Board),Euro,#226,"Frozen french fries 9X9
","By Operation Manager on 2 Apr, 2025","By Operation Manager on 2 Apr, 2025",1.04
"000446 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]__2/4/2025",0,"000446 - Frozen French fries  [Bergia frites, Netherlands][Carrefour]",2/4/2025,FOB (Free On Board),Euro,#227,"Frozen french fries 9X9
","By Operation Manager on 2 Apr, 2025","By Operation Manager on 2 Apr, 2025",1.04
"000447 - Seven Seas - 35g
Seaweed Almond & Sesame [Bhars, Portugal][Foodz]__8/4/2025",0,"000447 - Seven Seas - 35g
Seaweed Almond & Sesame [Bhars, Portugal][Foodz]",8/4/2025,"CIF (Cost, Insurance, and Freight)",USD,#228,Seven Seas - 35g 40'' Dry,"By Operation Manager on 8 Apr, 2025","By Operation Manager on 8 Apr, 2025",0.93
"000447 - Seven Seas - 35g
Seaweed Almond & Sesame [Bhars, Portugal][Foodz]__8/4/2025",0,"000447 - Seven Seas - 35g
Seaweed Almond & Sesame [Bhars, Portugal][Foodz]",8/4/2025,"CIF (Cost, Insurance, and Freight)",USD,#229,"Seven Seas - 35g 20""' Dry","By Operation Manager on 8 Apr, 2025","By Operation Manager on 8 Apr, 2025",0.97
000448 - CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS [][]__22/1/2025,0,000448 - CRUSHED TOMATOES(Polpa) Tin 2650mlx6 VICTORIA PROPLUS [][],22/1/2025,FOB (Free On Board),Euro,#230,,"By Success Management on 9 Apr, 2025","By Success Management on 9 Apr, 2025",2.65
