ProposalLineItemID,Proposal,Proposal Status,Status,Product,Product Wholesale price,Lookup  Buyer Company,Price,Auto Number,dev | adapatation,dev | create Compliance record,dev | create Graphics,dev | create order line item,dev | order,First Created,Last Updated,Open Comments
"000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal] ()",,,New,"000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal]",7.000,,7,#021,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus] ()",,,New,"000279 - Refined Sunflower Oil, 5 Litters. [Abalıoğlu Yağ Sanayi ve Ticaret A.Ş., Turkey][ProPlus]",,,,#022,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof] ()",,,New,"000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof]",,,,#023,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal] ()",,,New,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",,,,#034,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal] ()",,,New,"000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal]",,,,#036,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal] ()",,,New,"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",,,,#041,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 20 Feb, 2025",0
"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal] ()",,,New,"000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",0.820,,0.82,#051,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal] ()",,,New,"000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal]",,,,#058,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000250 - Organic Dried Black Cherries 100 grams  [Serena, Bulgary][Shufersal] ()",,,New,"000250 - Organic Dried Black Cherries 100 grams  [Serena, Bulgary][Shufersal]",,,,#069,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000251 - Organic dried plums
100 grams  [Serena, Bulgary][Shufersal] ()",,,New,"000251 - Organic dried plums
100 grams  [Serena, Bulgary][Shufersal]",,,,#070,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000264 - Organic dried pitted prunes, Green brand, 250 grams,
Shufersal
 [Serena, Bulgary][Shufersal] ()",,,New,"000264 - Organic dried pitted prunes, Green brand, 250 grams,
Shufersal
 [Serena, Bulgary][Shufersal]",,,,#071,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000265 -  Organic Pitted Dried Black Cherries 100 grams, Shufersal [Serena, Bulgary][Shufersal] ()",,,New,"000265 -  Organic Pitted Dried Black Cherries 100 grams, Shufersal [Serena, Bulgary][Shufersal]",,,,#072,,No,No,No,,"By Success Management on 24 Dec, 2024","By Operation Manager on 19 Feb, 2025",0
"000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal] ()",,,New,"000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal]",0.600,,0.6,#073,,No,No,No,,"By Operation Manager on 31 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000327 - wafers cocoa 175g [Balconi, Italy][Shufersal] ()",,,New,"000327 - wafers cocoa 175g [Balconi, Italy][Shufersal]",0.600,,0.6,#074,,No,No,No,,"By Operation Manager on 31 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000360 - Extra virgin olive oil 750 ml- Meuloliva [Mueloliva , Spain][Dor Alon] (750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon- Mueloliva , Spain)","750/ 500 ml. Olive oil - mueloliva- Dor alon, Dor Alon- Mueloliva , Spain",New,Approved,"000360 - Extra virgin olive oil 750 ml- Meuloliva [Mueloliva , Spain][Dor Alon]",3.870,Dor Alon,3.87,#078,,No,No,No,,"By Udi Stryk on 19 Feb, 2025","By Udi Stryk on 19 Feb, 2025",0
"000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal] (Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy)","Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy",Approved,New,"000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",1.168,Shufersal,1.168,#043,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal] (Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy)","Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy",Approved,New,"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",1.463,Shufersal,1.463,#044,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal] (Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy)","Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy",Approved,New,"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]",1.115,Shufersal,1.115,#045,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]",,Shufersal,,#061,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]",,Shufersal,,#062,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000276 - vanila filled cookies 150 gr [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000276 - vanila filled cookies 150 gr [Vicenzi, Italy][Shufersal]",,Shufersal,,#063,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000022 - Gluten Free BISCUITS 125 G [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000022 - Gluten Free BISCUITS 125 G [Vicenzi, Italy][Shufersal]",,Shufersal,,#064,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000021 - Gluten free cookies lemon filled [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000021 - Gluten free cookies lemon filled [Vicenzi, Italy][Shufersal]",1.220,Shufersal,1.22,#065,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000020 - Gluten free cookies chocolate filled [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000020 - Gluten free cookies chocolate filled [Vicenzi, Italy][Shufersal]",,Shufersal,,#066,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal] (Cookies from Vicenzi, Shufersal- Vicenzi, Italy)","Cookies from Vicenzi, Shufersal- Vicenzi, Italy",Approved,New,"000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]",,Shufersal,,#067,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal] (CORNFLAKES SHUFERSAL 750 GR., Shufersal- Crispy food, Denmark)","CORNFLAKES SHUFERSAL 750 GR., Shufersal- Crispy food, Denmark",Approved,New,"000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]",,Shufersal,,#046,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal] (double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany)","double cookey gluten free, Shufersal- Coppenrath Feingebäck GmbH, Germany",Approved,New,"000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",1.650,Shufersal,1.65,#047,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal] (Dutch Butter Cookies, Shufersal- Daelmans, Netherlands)","Dutch Butter Cookies, Shufersal- Daelmans, Netherlands",Approved,New,"000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]",,Shufersal,,#040,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000288 - Poyraz Extra Virgin Olive Oil, Shufersal [Poyraz, Turkey][Shufersal] (EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey)","EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey",Approved,New,"000288 - Poyraz Extra Virgin Olive Oil, Shufersal [Poyraz, Turkey][Shufersal]",5.860,Shufersal,5.86,#039,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal] (Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy)","Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy",Approved,New,"000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",,Shufersal,,#059,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000277 - Finely chopped tomatoes crop 2022 [Solana, Italy][ProPlus] (Finely chopped tomatoes crop 2022, ProPlus- Solana, Italy)","Finely chopped tomatoes crop 2022, ProPlus- Solana, Italy",Approved,New,"000277 - Finely chopped tomatoes crop 2022 [Solana, Italy][ProPlus]",,ProPlus,,#060,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,New,"000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]",,Shufersal,,#001,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,Negotiations,"000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]",,Shufersal,,#002,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,Approved,"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",,Shufersal,,#003,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By SmartSuite Automation on 19 Feb, 2025",0
"000054 - GREEN PEAS [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,Negotiations,"000054 - GREEN PEAS [Ardo, Belgium][Shufersal]",,Shufersal,,#004,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 27 Jan, 2025",0
"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,New,"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",,Shufersal,,#005,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal] (Frozen Vegetables, Shufersal- Ardo, Belgium)","Frozen Vegetables, Shufersal- Ardo, Belgium",Approved,Approved,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,Shufersal,,#006,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By SmartSuite Automation on 19 Feb, 2025",0
"000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal] (Legumes in Conerves, Shufersal- La Doria, Italy)","Legumes in Conerves, Shufersal- La Doria, Italy",Approved,New,"000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",0.340,Shufersal,0.34,#007,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"(Legumes in Conerves, Shufersal- La Doria, Italy)","Legumes in Conerves, Shufersal- La Doria, Italy",Approved,New,,,Shufersal,,#008,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal] (Legumes in Conerves, Shufersal- La Doria, Italy)","Legumes in Conerves, Shufersal- La Doria, Italy",Approved,New,"000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",0.340,Shufersal,0.34,#009,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal] (Legumes in Conerves, Shufersal- La Doria, Italy)","Legumes in Conerves, Shufersal- La Doria, Italy",Approved,New,"000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",,Shufersal,,#010,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
"000025 - PRESERVED LEMON JUICE 200 ML [Polenghi, Italy][Ta'aman] (Lemon Juice for salads, Shufersal- Polenghi, Italy)","Lemon Juice for salads, Shufersal- Polenghi, Italy",New,New,"000025 - PRESERVED LEMON JUICE 200 ML [Polenghi, Italy][Ta'aman]",,Shufersal,,#025,,No,No,No,,"By Udi Stryk on 5 Dec, 2024","By Udi Stryk on 24 Jan, 2025",0
