ComplianceProcessID,Product Name,Product Specification Sheet,Status,Adaptation Process,Buyer's EAN Code,Supplier,Complience Progress,Date of Specification,Specification Versioning,Ministry of Health Application Status,Supplier Compliance Status,Health permit.s approval1 ?,Auto Number,First Created,Last Updated,Open Comments
"Compliance: 000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]","000233 - Organic frozen whole beans, Harduf 800 grams [GreenYard, Belgium][Harduf - All Organics]",All Organic - 2-24 B - F91521299-9.pdf,Approved,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium, 19 Jan, 2025",7290013994783,"GreenYard, Belgium",,31/1/2023,,Not Submitted,New,Yes,#261,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000326 - wafers gluten free 21.5g*3 [Helwa, Netherlands][Shufersal]","000326 - wafers gluten free 21.5g*3 [Helwa, Netherlands][Shufersal]","Specification Shufersal Enjoy Gluten free - 240222.pdf, IFS certificate valid untill 250114.pdf",Approved,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",,"Helwa, Netherlands",,12/1/2024,,Not Submitted,New,Yes,#283,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]","000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]",Specification Shufersal Enjoy Maltitol Gluten free - 240222.pdf,Approved,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",7296073277941,"Helwa, Netherlands",,17/4/2023,,Not Submitted,New,Yes,#284,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]","000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]","533110 Specification Shufersal Chocosticks Maltitol 150g - 230512.pdf, IFS certificate valid untill 250114.pdf",Approved,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Jan, 2025",7296073626480,"Helwa, Netherlands",,12/1/2024,,Not Submitted,New,Yes,#285,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]","000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",Cod. 3968 Lotto 3142.pdf,Approved,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",7296073295662,"Icam, Italy",,13/6/2023,,Not Submitted,New,Yes,#262,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]","000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal]",Cod. 3969 Lotto 3142.pdf,Approved,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",7296073295655,"Icam, Italy",,13/6/2023,,Not Submitted,New,Yes,#263,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]","000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",Cod. 3970 Lotto 3143.pdf,Approved,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Jan, 2025",7296073295679,"Icam, Italy",,13/6/2023,,Not Submitted,New,Yes,#264,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000275 - 5L Sunflower oil [Kadoogu Yag san ve Tic As, Turkey][Shufersal]","000275 - 5L Sunflower oil [Kadoogu Yag san ve Tic As, Turkey][Shufersal]",,New ,", 19 Jan, 2025",,"Kadoogu Yag san ve Tic As, Turkey",,,,Not Submitted,New,Yes,#279,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]","000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",SFC144.70. Finely Chopped tomatoes in tomato juice - can 425 ml.pdf,Approved,"Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy, 19 Jan, 2025",7296073497745,"La Doria, Italy",,9/5/2024,,Not Submitted,New,Yes,#239,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000340 - blake beans in brine 380 gr [La Doria, Italy][Shufersal]","000340 - blake beans in brine 380 gr [La Doria, Italy][Shufersal]",,New ,"Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",7296073497226,"La Doria, Italy",,,,Not Submitted,New,Yes,#280,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","000307 - Cannellini beans,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",,New ,"Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",7296073497219,"La Doria, Italy",,,,Not Submitted,New,Yes,#281,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","000310 - Red kidney beans ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",,New ,"Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",7296073497196,"La Doria, Italy",,,,Not Submitted,New,Yes,#282,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]","000297 - chickpeas ,No Uniqe nutritional attributes,380 [La Doria, Italy][Shufersal]",,New ,"Legumes in Conerves, Shufersal- La Doria, Italy, 19 Jan, 2025",7296073497189,"La Doria, Italy",,,,Not Submitted,New,No,#290,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]","000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]",,New ,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",7296073180449 ,"La Doria, Italy",,,,Not Submitted,New,No,#291,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]","000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal]",,New ,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",7296073180425,"La Doria, Italy",,,,Not Submitted,New,No,#292,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]","000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]",,New ,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",7296073529934,"La Doria, Italy",,,,Not Submitted,New,No,#293,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]","000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]",,New ,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 20 Jan, 2025",7296073180432,"La Doria, Italy",,,,Not Submitted,New,No,#295,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000227 - Sfornatini 140g [La Mole, Italy][Shufersal]","000227 - Sfornatini 140g [La Mole, Italy][Shufersal]","2023 SFORNATINI OlioOliva MLBOXOLIO REV 10_ITA_ENG-5.pdf, SFORNATINI Sesamo MLBOXSES REV 10_ITA_ENGolio di girasole (1).pdf, SFORNATINI Sesamo MLBOXSES REV 10_ITA_ENGolio di girasole.pdf",Approved,"Pita Chips & Grissini, Shufersal- La Mole, Italy, 19 Jan, 2025",,"La Mole, Italy",,,,Not Submitted,New,Yes,#240,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000228 - Pita Chips (Natural, Pizza, Paprika, Garlic, Herbs) [La Mole, Italy][Shufersal]","000228 - Pita Chips (Natural, Pizza, Paprika, Garlic, Herbs) [La Mole, Italy][Shufersal]",,New ,"Pita Chips & Grissini, Shufersal- La Mole, Italy, 19 Jan, 2025",7296073473589,"La Mole, Italy",,,,Not Submitted,New,No,#296,"By Operation Manager on 23 Jan, 2025","By Operation Manager on 23 Jan, 2025",0
"Compliance: 000075 - MUNCHIES SPICY RICE AND PEANUTS 200GR [Maas Intersales, Netherlands][Shufersal]","000075 - MUNCHIES SPICY RICE AND PEANUTS 200GR [Maas Intersales, Netherlands][Shufersal]",2025-01-07 MI_Product description Rice Cracker Nut_H17960900 .pdf,Approved,", 19 Jan, 2025",7296073324027,"Maas Intersales, Netherlands",,,,Not Submitted,New,Yes,#266,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000060 - organic chestnuts [Maas Intersales, Netherlands][Shufersal]","000060 - organic chestnuts [Maas Intersales, Netherlands][Shufersal]",,New ,"organic chestnuts, Shufersal- Maas Intersales, Netherlands, 19 Jan, 2025",7296073254256,"Maas Intersales, Netherlands",,,,Not Submitted,New,Yes,#278,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000229 - Flavored coated peanuts [Maas Intersales, Netherlands][Leiman Schlussel Ltd]","000229 - Flavored coated peanuts [Maas Intersales, Netherlands][Leiman Schlussel Ltd]",,New ,", 19 Jan, 2025",1,"Maas Intersales, Netherlands",,,,Not Submitted,New,Yes,#286,"By Operation Manager on 20 Jan, 2025","By Udi Stryk on 22 Jan, 2025",0
"Compliance: 000081 - 750ML EXTRA VIRGIN OLIVE OIL [Mueloliva , Spain][Marav Mazonkol (Osher Ad)]","000081 - 750ML EXTRA VIRGIN OLIVE OIL [Mueloliva , Spain][Marav Mazonkol (Osher Ad)]",Meuloliva olive oil technical data 2025_1.pdf,Approved,", 19 Jan, 2025",7296073659891,"Mueloliva , Spain",,1/5/2023,1.2,Approved,New,Yes,#241,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal]","000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal]",FN-01 Özgür Final Product Specification.pdf,Approved,"Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey, 19 Jan, 2025",7296073526438,"Ozgur, Turkey",,25/1/2024,,Not Submitted,New,Yes,#243,"By Udi Stryk on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000266 - Sultana raisins, Organic 500 gr. Shufersal [Ozgur, Turkey][Shufersal]","000266 - Sultana raisins, Organic 500 gr. Shufersal [Ozgur, Turkey][Shufersal]",FN-01 Özgür Final Product Specification.pdf,Approved,"Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey, 19 Jan, 2025",7296073526445,"Ozgur, Turkey",,25/1/2024,,Not Submitted,New,Yes,#244,"By Udi Stryk on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][]","000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][]","CoA PO114911 INV.12063-4.pdf, CoA PO114911 INV.12063-2.pdf, CoA PO114911 INV.12063-3.pdf",Approved,", 19 Jan, 2025",7296073630906,"Pastificio Mennucci S.P.A, Italy",,27/12/2023,,Not Submitted,New,Yes,#267,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][]","000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][]","CoA PO114911 INV.12063-5.pdf, CoA PO114911 INV.12063-6.pdf, CoA PO114911 INV.12063-7.pdf",Approved,", 19 Jan, 2025",7296073630890,"Pastificio Mennucci S.P.A, Italy",,27/12/2023,,Not Submitted,New,Yes,#268,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000026 - penne gluten free 400 gr [Pastificio Mennucci S.P.A, Italy][Shufersal]","000026 - penne gluten free 400 gr [Pastificio Mennucci S.P.A, Italy][Shufersal]","CoA PO114911 INV.12063-8.pdf, CoA PO114911 INV.12063-10.pdf, CoA PO114911 INV.12063-9.pdf",Approved,", 19 Jan, 2025",7296073630913,"Pastificio Mennucci S.P.A, Italy",,27/12/2023,,Not Submitted,New,Yes,#269,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000342 - PATA NACHOS TORTILLA WHITE CORN [Pata S.P.A, Italy][Schestowitz]","000342 - PATA NACHOS TORTILLA WHITE CORN [Pata S.P.A, Italy][Schestowitz]","analysis 181223.pdf, gluten free certification 181223.pdf",Approved,", 19 Jan, 2025",,"Pata S.P.A, Italy",,18/12/2023,,Not Submitted,New,Yes,#276,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000023 - PRESERVED LEMON JUICE 500 ML. [Polenghi, Italy][Ta'aman]","000023 - PRESERVED LEMON JUICE 500 ML. [Polenghi, Italy][Ta'aman]","COC 500 ml  24.06.03 SU0319 L4026 (1).pdf, COC 200 ml  24.03.06 SU1074 L4037.pdf",Approved,"Lemon Juice for salads, Shufersal- Polenghi, Italy, Lemon Juice for salads, Ta'aman- Polenghi, Italy, 19 Jan, 2025",7296073132400,"Polenghi, Italy",,6/3/2024,,Not Submitted,New,Yes,#270,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000024 - Natural Lemon Juice 250ml. [Polenghi, Italy][Ta'aman]","000024 - Natural Lemon Juice 250ml. [Polenghi, Italy][Ta'aman]",ST040_000005_L02_REV0_12_SUPERSOL.pdf,Approved,"Lemon Juice for salads, Shufersal- Polenghi, Italy, Lemon Juice for salads, Ta'aman- Polenghi, Italy, 19 Jan, 2025",7296073404903,"Polenghi, Italy",,28/6/2023,,Not Submitted,New,Yes,#271,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000025 - PRESERVED LEMON JUICE 200 ML [Polenghi, Italy][Ta'aman]","000025 - PRESERVED LEMON JUICE 200 ML [Polenghi, Italy][Ta'aman]",COC 200 ml  24.03.06 SU1074 L4037.pdf,Approved,"Lemon Juice for salads, Shufersal- Polenghi, Italy, Lemon Juice for salads, Ta'aman- Polenghi, Italy, 19 Jan, 2025",7296073130499,"Polenghi, Italy",,6/3/2024,,Not Submitted,New,Yes,#272,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000323 - LEMON JUICE 1L. TAAMAN [Polenghi, Italy][Ta'aman]","000323 - LEMON JUICE 1L. TAAMAN [Polenghi, Italy][Ta'aman]",ST019_000112_L45_REV1_12 (1).pdf,Approved,"Lemon Juice for salads, Shufersal- Polenghi, Italy, Lemon Juice for salads, Ta'aman- Polenghi, Italy, 19 Jan, 2025",,"Polenghi, Italy",,21/10/2024,,Not Submitted,New,Yes,#273,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000288 - Poyraz Extra Virgin Olive Oil, Shufersal [Poyraz, Turkey][Shufersal]","000288 - Poyraz Extra Virgin Olive Oil, Shufersal [Poyraz, Turkey][Shufersal]","Lot 1144 Analysis Certificate.pdf, Specification 1144.pdf",Approved,"EXTRA VIRGIN OLIVE OIL 750 & 500 ML, Shufersal- Poyraz, Turkey, 19 Jan, 2025",7296073675020,"Poyraz, Turkey",,26/4/2024,,Not Submitted,New,Yes,#274,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal]","000259 - Poyraz Extra Virgin Olive Oil, Ohser- Ad [Poyraz, Turkey][Shufersal]",SU.SP.01 Extra Virgin Olive Oil Specification Rev.01.pdf,Approved,"750ML EXTRA VIRGIN OLIVE OIL, Marav Mazonkol (Osher Ad)- Poyraz, Turkey, 22 Jan, 2025",7290015153119,"Poyraz, Turkey",,,,Not Submitted,New,Yes,#275,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000325 - Poyraz, 750 ml. Extra Virgin Olive Oil, H. cohen (Yesh Private label) [Poyraz, Turkey][Shufersal]","000325 - Poyraz, 750 ml. Extra Virgin Olive Oil, H. cohen (Yesh Private label) [Poyraz, Turkey][Shufersal]","Lot 1144 Analysis Certificate.pdf, Specification.pdf",Approved,"750 ml. Olive oil to H. Cohen (Yesh P.L), H. Cohen Import Marketing & Logistics Ltd- Poyraz, Turkey, 22 Jan, 2025",7296073675020,"Poyraz, Turkey",,26/4/2024,,Not Submitted,New,Yes,#277,"By Operation Manager on 20 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000277 - Finely chopped tomatoes crop 2022 [Solana, Italy][ProPlus]","000277 - Finely chopped tomatoes crop 2022 [Solana, Italy][ProPlus]",SAC PROPLUS - Polpa Estrusa 4.1Kg_F229_F230_anl2022.pdf,Approved,"Finely chopped tomatoes crop 2022, ProPlus- Solana, Italy, 19 Jan, 2025",,"Solana, Italy",,14/11/2022,,Not Submitted,Documents Received,Yes,#219,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]","000092 - Ladyfingers ""Shufersal"" 200g [Vicenzi, Italy][Shufersal]",5212 Ladyfingers 200g Vicenzi Technical sheet.pdf,Approved,"Cookies from Vicenzi, Shufersal- Vicenzi, Italy, 19 Jan, 2025",7296073218807,"Vicenzi, Italy",,17/9/2024,,Not Submitted,,Yes,#094,"By SmartSuite Automation on 30 Oct, 2024","By Success Management on 23 Jan, 2025",0
"Compliance: 000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]","000018 - CHOCOLATE CREAM FILLED COOKIES 150 GR
 [Vicenzi, Italy][Shufersal]",2102_Shufersal_ Chocolate 150g_2024 Vicenzi Technical sheet.pdf,Approved,"Cookies from Vicenzi, Shufersal- Vicenzi, Italy, 19 Jan, 2025",7296073161981,"Vicenzi, Italy",,21/8/2024,,Not Submitted,,Yes,#158,"By Udi Stryk on 4 Nov, 2024","By Success Management on 23 Jan, 2025",0
"Compliance: 000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]","000019 - HAZELNUT CREAM FILLED COOKIES 150 GR [Vicenzi, Italy][Shufersal]",2103_Shufersal_ Hazelnut 150g_2024 Vicenzi Technical sheet.pdf,Approved,"Cookies from Vicenzi, Shufersal- Vicenzi, Italy, 19 Jan, 2025",7296073162001,"Vicenzi, Italy",,21/8/2024,,Not Submitted,,Yes,#157,"By Udi Stryk on 4 Nov, 2024","By Success Management on 23 Jan, 2025",0
"Compliance: 000276 - vanila filled cookies 150 gr [Vicenzi, Italy][Shufersal]","000276 - vanila filled cookies 150 gr [Vicenzi, Italy][Shufersal]",,New ,"Cookies from Vicenzi, Shufersal- Vicenzi, Italy, 19 Jan, 2025",7296073526407,"Vicenzi, Italy",,,1,Not Submitted,,Yes,#159,"By Udi Stryk on 4 Nov, 2024","By Udi Stryk on 10 Mar, 2025",0
"Compliance: 000094 - striped beetroot&white potato chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]","000094 - striped beetroot&white potato chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]","114392 Certificate of analysis and statement check list - Parsnip, sweet potato, beetroot with a pinch of black pepper 85g.docx",Approved,"Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain, 19 Jan, 2025",7296073406624,"Viube/Grupo Apex/ Mikso, Spain",,22/6/2023,,Not Submitted,New,Yes,#225,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000095 - orange sweet potato&purple sweet chips85(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]","000095 - orange sweet potato&purple sweet chips85(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]","114392 Certificate of analysis and statement check list - Purple and orange sweet potato chips, 85g.docx",Approved,"Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain, 19 Jan, 2025",7296073406600,"Viube/Grupo Apex/ Mikso, Spain",,22/6/2023,,Not Submitted,New,Yes,#226,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
"Compliance: 000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]","000102 - Parsnip sweet potato&beetroot chips 85gr(KOSHER FOR PASSOVER) [Viube/Grupo Apex/ Mikso, Spain][Shufersal]",114392 Certificate of analysis and statement check list -White sweet potato and striped beetroot chips 85g.docx,Approved,"Vegetable chips 85gr, Shufersal- Viube/Grupo Apex/ Mikso, Spain, 19 Jan, 2025",7296073406617,"Viube/Grupo Apex/ Mikso, Spain",,22/6/2023,,Not Submitted,New,Yes,#227,"By Operation Manager on 19 Jan, 2025","By Success Management on 23 Jan, 2025",0
